论文题目,来源期刊,作者,摘要
数字技术应用与财政支出效率——来自预算管理一体化的证据,经济研究,李明; 徐长拓,财政紧平衡背景下，如何提高财政支出效率、提升财政支撑现代化建设的能力成为备受关注的话题。数字技术应用正在引领国家治理方式变革，但其能否在提升财政支出效率中发挥积极作用，仍有待深入探讨。本文依托预算管理一体化这一财政管理数字化的核心工程，利用2016—2022年的地级市面板数据，实证分析了数字技术应用对财政支出效率的影响。研究发现，一体化系统上线显著提高了地方财政支出效率；其中，提高预算过程管理效能、优化预算资源配置是预算管理一体化促进支出效率提高的重要机制。异质性分析显示，预算管理一体化的作用在政府规模较大、财政自主权较高、前期财政支出效率较低的城市中更强。最后，本文未能发现预算管理一体化对缓解财政压力有显著作用，这意味着本文发现的效率提升，更多来自产出端的改进，并没有破除支出扩张冲动与促进增收。本文为评估数字技术促进国家治理的成效提供了来自财政领域的证据，对进一步健全现代预算制度有所启示。
数字化转型、供应链溢出与劳动技能溢价,金融研究,张彩云; 杜碧娆; 谢谦,"本文从数字化转型的供应链溢出效应出发,考察中游企业数字化转型对上、下游企业劳动技能溢价(高、低技能劳动力之间的工资差距)的影响。研究发现,中游企业数字化转型会显著降低上、下游企业的劳动技能溢价,且该影响在下游企业中更为突出。机制分析表明,这一效应主要通过推动数字技术扩散、增强协同化生产、优化产需匹配以及提升信息透明度四条渠道传导至上、下游企业。进一步分析发现,中游企业数字化转型的影响在不同链路上呈现出差异性特征,上游企业劳动技能溢价的降低主要取决于中游企业信息化制造、定制化产品与定向化服务链路的数字化转型,而下游企业劳动技能溢价的降低主要取决于中游企业信息化制造链路的数字化转型。本文为充分发挥数字化转型的链式效应、推动构建更加合理有序的收入分配格局提供了实证参考。"
政策价值信号、地方转化效应与城市创新驱动——来自科技保险的经验证据,金融研究,卓志; 熊博; 朱衡,"科技保险政策作为服务于科技创新活动的制度安排,其价值信号反映了地方政府对创新风险保障的重视程度与资源配置意向。本文基于地方科技保险政策文本识别结果,构建城市层面的政策信号强度指标,并实证检验其对城市创新的影响。研究发现:城市科技保险政策信号的增强能够显著推动当地创新水平提升;机制分析表明,信号主要通过促进科技保险市场发展、增加地方政府科技财政支出与激励区域研发投入三条路径发挥作用;分组分析显示,政策效应在中部地区及北方城市更为突出,中等创新水平城市受益最为显著,表明政策效果高度依赖城市资源禀赋与产业特征。此外,邻近城市间存在政策跟随行为,但空间溢出效应并不显著。本研究揭示了央地政策协同驱动城市创新的内在逻辑,为优化科技保险政策设计及差异化施策提供了相应依据。"
技术标准国际对接与国际创新合作——兼论中国融入全球创新网络的路径选择,经济研究,王辉; 胡耀; 王洪岩,技术标准国际对接是我国主动融入全球创新网络，实现以开放促创新的高水平制度型开放举措。本文通过自然语言处理方法测度专利文本与采标技术标准文本相似度，识别企业受技术标准国际对接的影响程度，结合高维固定效应模型实证检验技术标准国际对接对企业国际创新合作的影响。研究发现，技术标准国际对接通过降低跨国技术协调成本、契约风险成本以及贸易摩擦引致的不确定性冲击，显著提升企业国际创新合作水平。但技术标准国际对接并未有效反哺国内创新，原因在于当前我国融入全球创新网络过程中技术标准对接模式的不匹配。以国际合作专利成果署名顺序为切入点的研究发现，完全等同、等效采用国际标准虽能更有效提高我国企业国际合作创新水平，但对其创新主导能力的提升有限；而采用与中国技术发展阶段更匹配的修改后采标方式进行标准对接，能有效提升国内企业国际创新合作主导能力，提高企业创新质量、突破企业自身创新边界、扩大企业创新国际影响力。基于企业创新相对基础差异的深入分析发现，创新基础较弱的企业盲目追求标准一致性是导致技术标准国际对接难以反哺国内创新的关键。本研究从标准制度型开放视角，为我国充分利用全球创新资源、实现科技创新自立自强提供了现实方案和经验证据。
房地产下行背景下提振居民消费的宏观政策研究,金融研究,梅冬州; 王宝玲,"本文通过实证研究与理论建模,系统剖析房地产市场下行冲击对消费的宏观影响。基于贝叶斯向量自回归模型的实证分析表明,房价下跌对不同收入群体消费的冲击存在显著差异,低收入群体消费降幅显著高于高收入群体,也是总消费走弱的主要因素。为厘清这一传导机制,本文构建包含受信贷约束与不受信贷约束家庭的两代理人新凯恩斯模型。数值模拟结果显示,房价下跌通过金融摩擦与土地财政两个渠道放大经济下行压力。其中,受信贷约束的低收入家庭消费与当期收入强相关,收入下滑直接降低其消费;高收入家庭可通过调整储蓄资产平滑消费。当低收入家庭占比上升时,其消费下降将进一步引致非房产部门产出下降、工资加速下滑,形成收入和总消费持续走弱的负反馈循环。政策评估结果显示,降息缓解投资下降的效果较为显著,但对低收入群体消费的直接提振作用有限;提振消费更有赖于财政政策精准发力。实践中应发挥货币政策与财政政策协同作用,构建投资消费双轮驱动格局。"
总法律顾问制度与国有企业违规治理——基于金融监管压力传导的经验证据,金融研究,李美萱; 毛新述; 徐晓东,"在金融强监管持续推进与法治化营商环境加快构建的背景下,外部监管压力能否转化为企业内部合规约束,成为提升国有企业治理能力的重要问题。总法律顾问作为全面负责国有企业法律合规管理的制度安排,是连接外部监管与内部合规的关键主体。本文考察总法律顾问制度对国有企业违规行为的治理效应,并分析其在金融监管压力传导过程中的作用机制。研究发现:(1)总法律顾问的设立使国有企业违规可能性降低17.69%,外部金融监管压力更大时,总法律顾问的治理效能更强。(2)机制分析发现,总法律顾问通过提高内部法律风险意识和增强外部法律风险感知,有效抑制了国有企业不同类型的违规行为,降低了违规程度,发挥了合规“守门人”作用。本文从金融监管压力传导视角拓展了法律高管在企业合规治理中的功能认知,为国有企业法治化建设提供了实践支撑与政策参考。"
外部不确定性冲击、跨境资本异常流动与系统性金融风险防范,金融研究,邓创; 吴健; 杨晨龙; 邓佳妮,"本文借助状态空间系统区分外部环境中非预期的正负向波动成分,尝试识别中国经济面临的外部正向和负向不确定性冲击,在此基础上考察两者对系统性金融风险变化的差异化作用,并重点从跨境资本异常流动视角揭示其传导渠道与优化治理路径。研究发现:外部不确定性冲击会放大系统性金融风险水平,且该影响因不确定性方向不同呈现非对称性,负向不确定性影响更为突出;跨境资本异常流动构成重要传导渠道,其中正向不确定性通过逐利动机推升资本外逃概率,而负向不确定性主要通过避险动机增加资本中断和资本撤回概率;汇率弹性提升与跨境资本监管可缓解外部不确定性带来的相关冲击,产业结构优化政策可以有效应对正向不确定性带来的影响,经济主体预期管理则更利于化解负向不确定性带来的扰动,长期来看,全要素生产率提升在风险平抑方面作用显著。"
城市基本公共服务均等化演进与路径优化,财贸经济,黄文彬 王 曦,缩小城市外来人口与本地人口的公共服务享有差距是推进新型城镇化的关键环节，降低落户门槛和减少公共服务歧视是缩小两者差距的重要路径。然而，这两条路径存在内在冲突，亟须研究均等化的路径优化问题。本文在异质性劳动力流动的空间一般均衡框架下刻画均等化双重路径的作用渠道，结合特征事实与理论模型测度283个城市在2000—2020年的均等化水平，进而量化评估均等化效果与路径优化方向。研究发现，2000年以来，我国基本公共服务均等化水平明显提高，促进了总产出与社会福利的提升。其中，产出增加主要源于公共服务歧视减少，福利提升主要源于落户门槛降低。政策模拟表明，一、二线城市减少公共服务歧视以及三线城市降低落户门槛产生的经济福利效应更优；差异化户籍制度改革与城市群落户积分互认也是提升此效应的重要渠道。本文为理解城市基本公共服务均等化的空间均衡效应提供理论依据，也为均等化政策实践提供有益参考。
城市人才政策对劳动力配置效率的影响,财经研究,李永友; 齐菁华,为了在激烈人才竞争中引进人才，很多城市颁布了人才政策，那么人才政策能改善城市内劳动力配置效率吗？文章通过手工整理中国各地级市2009—2019年颁布的人才政策，对这一问题进行考察，并探究其中的作用机制。研究发现：颁布人才政策的城市，其内部劳动力配置效率更高，说明人才政策能够显著提升城市内部劳动力的配置效率；人才政策对劳动力配置效率的促进效应不仅受到政策内容设计的影响，而且受到城市自身特征的影响。机制识别表明，人才政策通过吸引高技能劳动力流入、促进流入人才和企业需求的有效对接来改善城市内部高技能劳动力配置。进一步研究表明，高技能劳动力集聚还通过技能互补渠道对低技能劳动力产生就业外溢效应，使得不同技能劳动力进入与自身技能水平相适应的岗位，提升社会分工水平，从而提升城市整体劳动力配置效率；人才政策带来的劳动力配置效率提高显著促进了城市经济增长。文章结论表明，地方政府应根据城市特征，制定更具针对性的人才政策，更好地助力经济高质量发展。
区域技术转移与企业高质量创新——来自技术转移网络的证据,财贸经济,郭 露 王 勇,技术市场通过技术集聚、知识溢出与扩散效应推动创新要素优化配置，是实现科技创新从规模扩张向质量提升转型的关键路径，而技术转移正是技术市场促进创新要素流动和价值实现的核心机制。本文以专利转让数据为基础构造全国技术转移网络，探讨技术转移如何影响企业高质量创新。研究发现，跨区域技术转移能够显著提升企业高质量创新水平，这一结论在多种稳健性检验下依然成立。从作用机制看，技术转移能够通过优化创新资源配置、缓解知识产权约束以及弱化地区技术路径依赖三条路径推动企业高质量创新。异质性分析表明，规模更大的企业、技术迭代速度快以及高科技行业企业更容易从区域技术转移中获益，但对处于竞争性行业的企业，自主研发才是应对创新竞争的长期举措。从外部环境看，较高的知识产权保护水平可能强化外部技术吸收中的权利约束，从而削弱技术转移的创新转化效应。进一步分析发现，技术转移不仅能促进直接参与企业的创新，而且能通过间接传播拓展溢出边界。此外，从技术结构视角看，技术转移的创新效应不仅取决于“转了多少”，也取决于“转了什么”。本文为完善全国统一技术大市场建设、促进技术成果高效转化和提升企业高质量创新能力提供了经验证据与政策启示。
劳动力高频流动、资源配置短期化与制造业“内卷式”竞争,经济理论与经济管理,刘洋左宇晓,本文在提出制造业“内卷式”竞争概念的基础上，基于2013—2023年上市公司数据，通过构建制造业“资源配置短期化”框架，考察了劳动力高频流动对制造业“内卷式”竞争的影响效应、发生机制与破解路径。研究发现：劳动力高频流动显著加剧了制造业“内卷式”竞争，使企业产能扩张超出市场需求，进而导致价格加成率持续下滑。机制分析发现：劳动力高频流动引致企业在人力资源、创新资源与市场资源三个关键维度上形成资源配置短期化倾向，诱发制造业“内卷式”竞争。进一步分析发现：内卷效应主要集中于固定成本刚性更强、现金流压力更大的企业中，且在全球价值链低端企业中表现得尤为突出。本文在理论上从企业资源配置视角揭示了劳动力高频流动加剧制造业“内卷式”竞争的发生机制；在实践上则为有效整治制造业“内卷式”竞争贡献了经验证据与破解路径。
劳动力市场势力与企业规模趋同：对于“内卷式”竞争的一个解释,经济理论与经济管理,赵伟光牛志伟,“内卷式”竞争正成为阻碍中国制造业高质量发展的一大障碍。从学理层面来看，这一现象在本质上是企业规模分布趋同化与产能过密化的直观映射。本文旨在揭示企业劳动力市场势力引发企业规模趋同化与产能过密化的内在机理。理论模型揭示，企业凭借劳动力市场势力，通过压低员工工资填补产品市场利润缺口，致使诸多生产效率未达完全竞争市场临界值的企业涌入市场并存活，进而引发市场均衡时企业数量过剩与产能过密化。同时，低效企业的进入拉低了行业平均生产率、降低了市场进入门槛。这促使劳动力不合理地流向低效率企业，加剧了企业规模分布趋同化现象。基于2007—2016年税调数据的实证研究验证了上述机制。因此，消除劳动力市场势力，对形成适度的企业规模梯度、优化企业间规模层次至关重要。
加强银行债权司法保护能否促进消费信贷扩张：来自大数据查控系统建立的证据,财贸经济,余明桂; 安剑锋; 张萌萌,为提高司法执行效率，各地方法院先后建立了“点对点”大数据查控系统。该系统能够迅速查询、冻结违约借款人的财产，以保障银行合法权益，为探究加强银行债权司法保护能否强化金融对消费的支持提供了独特契机。本文使用手工整理的中小银行消费贷款数据，研究“点对点”大数据查控系统的建立能否促进消费贷款扩张。结果发现，大数据查控系统的建立有利于降低银行贷款风险和改善社会信用环境，从而增加了银行消费贷款的发放，促进了居民消费。经济后果检验发现，在老年抚养比较高、少儿抚养比较高、房价较高、恩格尔系数较高的地区，居民消费的增长更明显。本文首次揭示了法治基础设施建设对促进消费的重要作用，为实现非经济政策与经济政策目标协同，从而增强宏观政策取向一致性提供了理论依据，也为进一步完善扩大消费长效机制、优化金融资源配置以促消费、惠民生提供了政策参考。
制造业如何跨越“内卷式”竞争？——链主企业主导的多重博弈与治理重构,经济研究,庞瑞芝; 黄金萌; 邓忠奇,当前，“内卷式”竞争正成为抑制企业创新活力、阻滞产业高质量跃迁的关键问题。本文聚焦中国制造业产业链层面“内卷式”竞争的形成机制与治理路径，通过构建链主企业、供应商与消费者的三方动态博弈模型，揭示纵向博弈与横向竞争双重作用下“内卷式”竞争产生的微观机理。研究发现，链主企业虽然对于产业链稳定和技术创新有一定积极作用，但若放任其在产业链中的主导性持续强化，可能引发三种负面效应：（1）产业链低端锁定效应，形成长期“低质量、低价格、低利润”的均衡陷阱；（2）利益分配失衡，产业链利润分配呈现“马太效应”，中小微企业利润空间收窄；（3）政策传导低效，产业补贴存在“截留效应”，大部分补贴转移至链主企业。基于价值链治理与制度变迁理论，本文提出“行业协会协同治理+渐进式质量标准演进”的双轨治理路径：一方面，通过多中心治理结构降低单边依赖度；另一方面，通过设定动态质量标准引导产品质量升级。本研究将产业链治理从“有效市场+有为政府”的二元范式拓展至包含行业自组织与质量标准引领的多元框架，为综合整治“内卷式”竞争提供了理论支撑与可操作路径。
农业季节性、劳动力流动与经济发展——来自18—19世纪中国的证据,经济研究,杨成; 洪佳铭; 朱浩; 谢富胜,农业生产的季节性深刻影响着劳动力配置与经济结构转型，但这一关键因素在既有研究和政策框架中尚未得到充分重视。本文构建两部门、两时期理论模型，分析农闲劳动力流动对非农扩张的影响，并基于清代《刑科题本》构建18—19世纪中国府级面板数据进行实证检验。研究发现：农业季节性总体上促进区域经济发展，机制在于农闲期释放的劳动力以佣工形式进入手工业和服务业，推动劳动力跨部门配置。进一步分析表明，较高的政府治理能力、较强的宗族组织以及良好的地方文教环境，有助于降低劳动力匹配与市场交易成本，促进季节性劳动力转化为生产性就业。空间异质性显示，在非农能力不足的地区，农业季节性可能导致失业增加，而在长江流域及南方地区，农闲劳动力更容易转化为非农就业。时间异质性表明，随着经济结构演进，农业季节性边际作用减弱。本文从农业时间结构视角补充了二元经济与内卷化讨论，也为理解乡村振兴中统筹农闲就业承接、农忙用工保障与县域产业发展关系提供了历史经验。
全球跨境数字并购：距离还重要吗？,财经研究,谢红军; 齐翔,距离一直是制约传统跨境并购的关键因素，但对于数字技术变革所催生的跨境数字并购热潮，一种观点认为，数字技术进步使世界变“平”，距离对跨境数字并购已不再重要；另一种观点则认为，数字技术反而可能使跨境数字并购对距离更为敏感。对此，文章基于全球跨境数字并购数据，试图回答两个问题：距离对跨境数字并购是否仍然具有影响？数字技术如何影响距离与跨境数字并购的关系？研究发现：（1）地理距离与制度距离的增加显著且稳健地抑制了跨境数字并购规模，其主要原因在于距离增加提高了数字并购成本，并放大了数字情境下的政治风险。（2）距离的抑制效应会随着经济发展阶段、距离水平、文化情境以及数字并购类型的不同而发生变化。（3）尽管数字技术能够弱化地理距离的负面影响，却始终无法缓解制度距离的抑制作用。文章结论不仅深化了对距离在跨境数字并购中重要性的理解，也对数字技术如何重塑企业国际化布局具有重要的理论与实践意义。
全球化与经济韧性：基于不确定性冲击视角,经济理论与经济管理,王欣康谭小芬杨丹蕾,全球化受阻、不确定性高企与经济脆弱性凸显是当前世界经济的重要特征。本文将贸易和金融纳入统一的研究框架，在不确定性冲击的视角下，考察全球化如何影响经济韧性。本文结合经济韧性理论与在险增长的建模思路，构建分位式韧性评估模型，以53个经济体为样本进行实证研究，发现不确定性冲击会造成经济损失，且对经济增长分布左尾的负面影响更大。贸易全球化能够平滑经济波动，增强极端负面情形下的经济韧性。金融全球化会放大极端情形下的经济损失，却能促进中长期经济复苏，增强一般情形下的经济韧性。将研究框架进一步应用于关税政策的后果评估，本文发现，加征关税会造成不确定性上升，引发直接经济损失，并且驱动经济由全球化转向碎片化，降低经济韧性，通过间接效应放大不确定性冲击的负面影响。本文研究对中国积极参与全球治理、推动高水平对外开放以及妥善应对外部冲击具有一定的理论参考价值。
企业社保综合降费与劳动收入份额,财贸经济,杜鹏程 刘 屾 王姝勋,完善社会保险制度以切实降低企业社保缴费负担，是优化初次分配格局进而推进共同富裕的关键举措。本文基于资本-技能互补框架构建了包含异质性劳动力需求的要素收入分配决定模型，从理论层面剖析兼顾“降费率”和“降费基”的企业社保综合降费改革影响劳动收入份额的作用机制，并借助2019年实施的《降低社会保险费率综合方案》这一“准自然实验”进行实证检验。结果显示，社保综合降费改革明显提升了企业劳动收入份额，且这一促进效应在社保基金平衡压力大、人力资本丰裕度高的地区和劳动密集型企业中更加明显。机制分析结果表明，企业社保缴费规范度提升、员工薪酬福利增加和技能结构升级是社保综合降费改革促进企业劳动收入份额提升的重要渠道。本文还发现，“降费基”对企业劳动收入份额提升具有更强的解释力，且“降费率”的收入分配效应受到费基约束条件的调节，费率与费基的协同调整产生了超越单一工具的提升效果。同时社保综合降费使得普通员工更多分享降费福利，有效缩小了企业内部收入差距。本文为完善我国企业社会保险制度以持续增加劳动者收入、优化初次分配格局提供了微观证据。
企业碳减排研究进展,经济学动态,吴超鹏; 王万方; 郭靖俞,在全球气候治理日益紧迫的背景下，企业碳减排的驱动机制、实现路径与经济后果日益成为经济学与管理学领域关注的重要议题。本文采用系统性文献综述方法，对国内外代表性研究进行归纳、比较与评述，并围绕五个方面展开分析：第一，系统总结并比较了企业碳排放的主要度量方法；第二，从经济学视角提炼出企业碳减排的三大驱动机制，即制度约束下的监管压力、气候风险意识驱动的战略决策和资金支持形成的资源赋能效应；第三，聚焦企业层面的减排实践，归纳以技术创新为核心的内部转型路径，以及以生产外包、资产剥离等方式为代表的外部转移路径；第四，分析企业碳排放的资本市场效应，重点关注市场估值、碳溢价及融资条件变化；第五，梳理碳信息披露的影响因素及其经济后果。在此基础上，本文进一步评述了现有研究的局限性，并提出未来研究方向。最后，本文从企业实践、政策设计与学术研究三方面提出优化建议，旨在为理解企业碳减排行为、完善气候治理政策体系以及推动经济低碳转型提供参考。
企业大数据应用与产业链韧性,经济学动态,阳立高 吴胤宽 李 江,在全球价值链重构的背景下，提升产业链韧性是维护经济安全的重要保障。数据作为新型生产要素，正加速成为驱动经济社会发展的基础性和战略性资源，为提升中国产业链韧性和安全水平提供了新契机。本文基于2010—2023 年中国A 股上市公司数据，探究企业大数据应用对产业链韧性的影响及传导机制。研究发现，企业大数据应用能够显著提升产业链韧性，且该结论通过一系列稳健性检验后依然成立。机制分析表明，企业大数据应用能够通过信息赋能、决策优化和信用提升三种渠道提升产业链韧性。异质性分析表明，企业大数据应用对产业链韧性的提升效应在高市场化程度地区、高不确定性环境及规模较小的企业中更为明显。本研究为促进数据要素深度赋能新质生产力发展，推动产业链韧性提升和经济高质量发展提供了有益启示。
企业上市预期成功率、ESG披露与IPO绩效,金融研究,叶康涛; 芦旭; 白光喜; 战昕彤,"本文基于大语言模型以及2012—2022年4210份招股说明书数据,对拟上市企业的ESG信息进行量化评估,系统分析了企业IPO预期成功率、ESG披露水平与IPO最终成功率之间的关系。研究发现:(1)企业IPO预期成功率越低,越可能在招股说明书中披露较佳的ESG表现;(2)招股说明书中的ESG表现显著提升了其IPO最终成功率。上述效应在监管部门更为关注企业社会责任时以及在高污染行业中更为显著。进一步分析表明,对于IPO预期成功率较低的企业,招股说明书中的ESG表现无法有效预测其上市后的ESG绩效,因此需警惕此类企业“漂绿”上市的风险。"
以开放应对摩擦：非对称关税调整的消费者福利效应,经济研究,戴觅; 陈君妍; 宋泽,2017—2019年，为反制美国对华加征的关税，中国对来自美国的进口产品实施了反制性关税措施，同时主动降低了对其他贸易伙伴的进口关税。本文基于包含最终品与中间投入品的非位似嵌套常替代弹性需求系统，结合丰富的家庭消费支出数据、贸易数据与关税数据，量化评估了这一非对称关税调整对中国城镇家庭消费者福利的总体影响及其分配效应。研究发现：（1）对美反制关税对单个家庭带来的消费者福利损失总体温和可控，约占家庭支出的0.11%。（2）对其他国家降低关税使家庭消费者福利平均上升0.08%，很大程度上抵消了反制关税带来的负面冲击。（3）非对称关税调整促使进口来源地从美国转向其他国家，降低了家庭对美国进口的依赖程度，从而进一步削弱了反制关税对消费者福利的不利影响。（4）从分配效应来看，由于低收入家庭消费了更多可贸易品，尤其是受反制关税影响较大的食品与农产品，因此加征关税对低收入群体的影响略大；而对其他国家调降关税则未带来明显的福利分配效应。本文从家庭消费者福利的视角，为近年来我国贸易政策调整的经济效应提供了定量评估，并表明扩大自主开放、促进进口来源地多元化，有助于缓解中美贸易摩擦对我国经济的冲击。
从四边形到五边形：重塑中国资本市场生态链,财贸经济,吴晓求; 陈柏何; 方明浩; 谭松涛,四边形市场结构是现代资本市场生态链的基础框架，代表了资本市场运行的核心机制与结构性均衡。中国资本市场经过三十余年的制度建设与改革实践，在四边形市场的各个维度上均取得明显进展。但是，应该看到，市场整体在很长时期内处于低估值水平，表现出融资结构失衡、财富管理功能不足、治理效能有限与市场韧性较弱等问题。本文在系统梳理中国资本市场发展阶段性演变的基础上，分析其从“制度修补”向“生态重塑”的逻辑进程，进一步阐释央行在资本市场生态链重构中的系统性影响。本文提出，中国资本市场要实现从“四边形”到“五边形”的重塑，必须发挥央行在资本市场生态链中的关键作用，以优化资源供给、拓展有效需求和完善制度平台为三大核心支点，构建一个功能协调、结构均衡、内生增长的现代资本市场体系。
人机协作是否必然提升劳动收入：来自网络招聘数据的证据,财经研究,喻家驹; 周健; 陶长琪,近年来，新一代信息技术被广泛用于社会生产各环节，对劳动收入产生了复杂而深远的影响，人机替代和人机协作是其中的两种形式。相比于人机替代，人机协作能够通过劳动工具升级的方式拓展劳动者能力边界，提升任务执行效率，在直观逻辑上更能为劳动收入的增长赋能。然而，从资本深化的角度来看，新一代信息技术的应用也必然弱化劳动者在生产中的角色，并降低劳动收入份额。加上缺少测算指标，目前尚不清楚人机协作是否必然提升劳动收入。文章采用网络招聘数据首次在就业岗位层面测算人机协作水平，并将其分解为教育依赖型协作和非教育依赖型协作，进而考察人机协作对劳动收入的影响。研究发现：人机协作总体上提高了劳动收入；“劳动生产率效应”和“劳动角色弱化效应”是其作用机制；人机协作并不必然提升劳动收入，由于“劳动生产率效应”和“劳动角色弱化效应”的影响程度不同，教育依赖型协作对劳动收入的提高具有促进作用，但非教育依赖型协作则有抑制作用；人机协作对劳动收入的影响存在年份、学历和区域异质性；拓展性分析显示，技能特异性强化人机协作对劳动收入的正向影响，且人机协作能显著提高就业岗位的权益保障水平。文章的研究结论对于优化人机协作方向和提高劳动收入份额提供了参考。
人工智能驱动下的企业劳动就业变革：规模、结构与质量,经济理论与经济管理,赵凯金政宇,本文基于2014—2024年中国上市公司数据，使用ERNIE 3.0大语言模型对上市公司年报中管理层讨论与分析部分进行文本分析，构建了多层次的人工智能技术指标体系，系统探讨了人工智能技术对企业劳动就业的影响。研究结果表明，人工智能技术显著促进了企业员工规模的扩大。通过构建Bartik工具变量缓解内生性问题并进行一系列稳健性检验后，该结果始终保持稳定。在具体机制上，人工智能技术通过提升生产规模、降低管理成本和增加研发投入，推动了企业劳动就业规模的扩大。进一步分析发现，人工智能技术对小规模、技术密集型、劳动密集型以及内陆地区企业的就业促进效应更明显。拓展性分析表明，在就业结构方面，人工智能技术显著增加了非常规型职业的比例，显著减少了常规型职业的比例；在就业质量方面，人工智能技术提高了员工薪酬水平，但未显著影响加班情况。此外，本文将人工智能技术细分为基座式人工智能技术和生成式人工智能技术。作为当前人工智能技术的主要组成部分，基座式人工智能技术在就业规模、就业结构和就业质量各维度的实证效应与总体人工智能指标结果保持一致；而作为新兴技术的生成式人工智能，其影响仅显现在就业质量上，表现为显著提高企业员工薪酬水平并显著降低员工超时加班水平，在就业规模和就业结构维度上未发现显著作用。本文为理解人工智能就业效应的技术异质性提供了关键证据，对推动高质量充分就业具有政策启示。
人工智能对劳动力市场的冲击：“内卷式”竞争与缓解措施,经济理论与经济管理,陈晓佳徐玮,人工智能技术渗透是否会引发劳动力市场“内卷式”竞争，关系到技术红利共享与高质量充分就业的实现。本文构建动态均值场博弈模型，利用中国综合社会调查数据进行参数校准与情景模拟，系统分析不同人工智能暴露情景下劳动者行为选择与市场均衡结构的演化路径。研究发现，随着人工智能渗透加深，劳动者努力持续增加，技能投资和稳态技能水平同步提高，而总产出、工资水平与社会福利相对渗透度呈现倒U形变化，形成劳动投入高而回报改善有限的结构性特征。进一步分析表明，“内卷式”竞争并非主要源于人工智能的任务替代降低了努力回报，而是人工智能的暴露强化了同伴竞争，使私人努力回报系统性地高于社会回报，分散均衡下的劳动者努力持续偏离社会最优水平。政策模拟表明，绩效评价改革能够直接削弱同伴竞争，技能投资补贴有助于促进人力资本积累和释放生产率红利，基本收入政策则主要发挥福利兜底作用。由此，治理人工智能冲击下的劳动力市场“内卷式”竞争需要形成兼顾激励矫正、生产率提升与福利保障的政策组合。
产业政策与企业技术突破——基于企业微观行为视角,经济研究,白俊红; 蔡其硕,产业政策对实现国家技术主权与保障经济安全至关重要。本文基于企业微观行为视角，在分析企业创新“行为约束”的基础上，构建了一个内生化行为偏差的异质性创新模型，揭示阻碍企业技术跃迁的深层微观机制，探究中国产业政策如何助力企业技术突破。研究发现，企业技术突破存在一个由“渐进改良转向突破式创新”和“突破式创新回归保守策略”两个临界点所构成的创新窗口期，而中国产业政策正是通过托底型助推和激励型助推拓展了这一窗口期，从而助力企业进行持续性技术突破探索。以“制造强国战略”为准自然实验的实证研究亦证实了这一机制。本文结论不仅为揭示中国产业政策成功之谜提供了一个企业微观行为分析框架，更为产业政策有效缓解企业行为约束，进而通过“行为助推”系统地引导和释放企业创新潜能提供政策启示。
习近平经济思想研究丨中国特色的区域协调发展道路:理论意涵与实践路径,经济研究,魏后凯,区域发展不平衡是发展中大国普遍面临的问题。如何在不断缩小与发达国家之间差距的同时，有效破解国内区域发展不平衡问题，实现高水平区域协调发展，是摆在我们面前的一大世界性难题，也是中国共产党人必须回答的时代之问。针对这一时代之问，习近平总书记从中国国情和实际出发，发表了一系列关于区域协调发展的重要论述，深刻揭示了区域经济演变规律，科学回答了中国区域协调发展中的重大理论和现实问题，创新提出了在发展中促进相对平衡、区域协调发展一盘棋等新思想、新观点、新论断，并推动实施了区域重大战略和区域协调发展战略，形成一个完整的理论体系，丰富和发展了世界区域经济理论，为全方位推动区域协调发展、走中国特色区域协调发展道路提供了根本遵循。本文在阐述新时代区域协调发展科学内涵的基础上，深入考察了中国特色区域协调发展道路的理论意涵，并从完善战略体系、机制体系和政策体系三维视角提出了中国特色区域协调发展道路的实践路径。
中国银行业“向绿而行”：绿色债券的环境效益与发行动力研究,财贸经济,冯旭南; 肖丽芳,作为重要的金融机构，银行在推动实体经济向绿色、低碳、可持续转型中发挥着关键作用。本文以2016—2024年我国政策性银行和商业银行为研究对象，重点考察银行发行绿色债券的动因及其对银行环境绩效的影响。研究发现：第一，绿色债券的发行显著提升了银行的环境绩效，具体表现为环境评分上升、温室气体直接与间接排放量减少，以及对高污染行业贷款比例的下降；第二，银行发行绿色债券的动因包括绿色价值观、市场动力和政策压力，随着我国绿色金融制度体系的不断完善，政策压力逐渐转变为金融机构绿色转型的“协同促进者”；第三，异质性分析显示，银行规模较大、绿色金融支持力度大、绿色债券使用频率高的金融机构，其绿色债券对环境绩效的改善效果更为显著；第四，从绿色资金流向看，节能环保产业和基础设施绿色升级的绩效改善效果优于清洁生产、清洁能源和生态环境产业。本文实证验证了我国银行业在实现经济与环境双重效益中的积极作用，彰显了绿色金融政策引导下金融机构的责任与潜力。
